sample size dtype nodeName trueTime dvalue
s13c1 77 brlen 67_3 44.0 0.005000000000097037
s13c1 77 brlen 74_5 51.0 0.005000000000131931
s13c1 77 brlen 75_2 48.0 0.005000000000047507
s13c1 77 brlen 76_1 49.0 0.05028825613413956
s13c1 77 brlen virtual 0 0.005000000000156097
s13c1 77 nMus 116_6 49.0 0
s13c1 77 nMus 117_5 50.0 3.993
s13c1 77 nMus 126_1 50.0 2.43
s13c1 77 nMus 130_3 54.0 2.649
s13c1 77 nMus 131_6 56.0 3.928
s13c1 77 nMus 140_5 65.0 2.081
s13c1 77 nMus 155_10 38.0 0.002
s13c1 77 nMus 156_9 39.0 0.823
s13c1 77 nMus 158_13 42.0 0
s13c1 77 nMus 163_15 47.0 0.097
s13c1 77 nMus 163_19 89.0 4.99
s13c1 77 nMus 170_17 96.0 0
s13c1 77 nMus 174_1 48.0 2.535
s13c1 77 nMus 177_3 51.0 0.004
s13c1 77 nMus 180_9 49.0 0.072
s13c1 77 nMus 185_11 54.0 2.072
s13c1 77 nMus 185_6 55.0 4.914
s13c1 77 nMus 187_5 57.0 6.914
s13c1 77 nMus 188_17 33.0 0.959
s13c1 77 nMus 191_15 35.0 1.184
s13c1 77 nMus 191_16 35.0 1.184
s13c1 77 nMus 191_19 36.0 0
s13c1 77 nMus 191_9 51.0 2.915
s13c1 77 nMus 192_24 34.0 1.94
s13c1 77 nMus 196_27 38.0 1.14
s13c1 77 nMus 197_29 34.0 2.415
s13c1 77 nMus 197_37 34.0 0.002
s13c1 77 nMus 198_37 35.0 1.01
s13c1 77 nMus 199_31 36.0 6.903
s13c1 77 nMus 205_34 35.0 0.022
s13c1 77 nMus 211_33 41.0 2.716
s13c1 77 nMus 216_1 42.0 0.598
s13c1 77 nMus 216_10 25.0 2.004
s13c1 77 nMus 216_12 76.0 3.919
s13c1 77 nMus 216_13 36.0 0
s13c1 77 nMus 216_14 36.0 0
s13c1 77 nMus 216_15 31.0 0
s13c1 77 nMus 216_16 31.0 0
s13c1 77 nMus 216_17 25.0 0
s13c1 77 nMus 216_18 25.0 0
s13c1 77 nMus 216_19 25.0 0
s13c1 77 nMus 216_2 42.0 4.598
s13c1 77 nMus 216_20 25.0 0
