experiment,character,method,est_sigma
s10c5,k10_,sigma15_spalin_spatialonly,1.109267748582711
s10c5,k10_,sigma3_spalin_spatialonly,1.314463690682394
s10c5,k50_,sigma05_spalin,0.566453055359934
s10c5,k50_,sigma15_spalin,1.511051968629971
s10c5,k50_,sigma3_spalin,3.48629102781428
s10c5,k200_,sigma05_spalin,0.494323331363072
s10c5,k200_,sigma15_spalin,1.371673687801266
s10c5,k200_,sigma3_spalin,3.21155684232805
s18c1,k10_,sigma05_spalin,0.4653758312246009
s18c1,k10_,sigma15_spalin,1.476495206098111
s18c1,k10_,sigma3_spalin,2.970612928277348
s18c1,k10_,sigma05_spalin_spatialonly,0.424711051588845
s18c1,k10_,sigma15_spalin_spatialonly,1.754120434250535
s18c1,k10_,sigma3_spalin_spatialonly,3.046284035506068
s18c1,k50_,sigma05_spalin,0.519815920897187
s18c1,k50_,sigma15_spalin,1.53432671627392
s18c1,k50_,sigma3_spalin,3.316228668069734
s18c1,k200_,sigma05_spalin,0.502728668655978
s18c1,k200_,sigma15_spalin,1.477854778894083
s18c1,k200_,sigma3_spalin,3.23744018990419
s10c2,k10_,sigma05_spalin,0.554842250205656
s10c2,k10_,sigma15_spalin,2.425200674687685
s10c2,k10_,sigma3_spalin,3.172391956349004
s10c2,k10_,sigma05_spalin_spatialonly,0.418168564470877
s10c2,k10_,sigma15_spalin_spatialonly,2.369836282404091
s10c2,k10_,sigma3_spalin_spatialonly,2.30265256355707
s10c2,k50_,sigma05_spalin,0.4930586719695992
s10c2,k50_,sigma15_spalin,2.09901442231916
s10c2,k50_,sigma3_spalin,2.83079123379226
s10c2,k200_,sigma05_spalin,0.4539103479225765
s10c2,k200_,sigma15_spalin,1.93863287385419
s10c2,k200_,sigma3_spalin,2.877010781237714
s4c3,k10_,sigma05_spalin,0.489235838169873
s4c3,k10_,sigma15_spalin,1.516166313202941
s4c3,k10_,sigma3_spalin,2.6894098863291
s4c3,k10_,sigma05_spalin_spatialonly,0.4680622179585201
s4c3,k10_,sigma15_spalin_spatialonly,1.17625510340918
s4c3,k10_,sigma3_spalin_spatialonly,2.207182017938025
s4c3,k50_,sigma05_spalin,0.4614246175926396
s4c3,k50_,sigma15_spalin,1.582658904235591
s4c3,k50_,sigma3_spalin,2.6890583050627
s4c3,k200_,sigma05_spalin,0.4573712290502846
s4c3,k200_,sigma15_spalin,1.560949766581984
s4c3,k200_,sigma3_spalin,2.64710867241715
s20c4,k10_,sigma05_spalin,0.384436162905692
